old_col_names,new_col_names
group3_boys_adults_assigned_to_work_4,other_text_male
group3_boys_adults_assigned_to_work_5,n_other_male
group3_girls_adults_assigned_to_work_4,other_text_female
group3_girls_adults_assigned_to_work_5,n_other_female
group4_boys_enrolled_same_age_difficulties_1,diff_seeing_boys
group4_girls_enrolled_same_age_difficulties_1,diff_seeing_girls
group4_boys_enrolled_same_age_difficulties_2,diff_hearing_boys
group4_girls_enrolled_same_age_difficulties_2,diff_hearing_girls
group4_boys_enrolled_same_age_difficulties_3,diff_walking_boys
group4_girls_enrolled_same_age_difficulties_3,diff_walking_girls
group4_boys_enrolled_same_age_difficulties_4,diff_picking_boys
group4_girls_enrolled_same_age_difficulties_4,diff_picking_girls
group4_boys_enrolled_same_age_difficulties_5,diff_communicating_boys
group4_girls_enrolled_same_age_difficulties_5,diff_communicating_girls
group4_boys_enrolled_same_age_difficulties_6,diff_learning_boys
group4_girls_enrolled_same_age_difficulties_6,diff_learning_girls
official_language_of_instruction,official_language_of_instruction
enrolled_children_speak_the_same_language_at_home,enrolled_children_speak_the_same_language_at_home
group5_s1_observation_start_time,s1_obs_start
group5_s1_observation_end_time,s1_obs_end
group5_s1_length_in_minutes,s1_length_in_minutes
group5_s1_length_in_minutes_enter,s1_length_in_minutes_enter
group5_s1_learning_activities_observed,s1_learning_activities_observed
group5_s1_format,s1_format
group_s1_0_s1_tot1_c0_1,s1_snp1_b0_1
group_s1_0_s1_tot1_c0_2,s1_snp2_b0_1
group_s1_0_s1_tot2_c0_1,s1_snp3_b0_1
group_s1_0_s1_tot2_c0_2,s1_snp3_b0_2
group_s1_0_s1_tot3_c0_1,s1_snp1_b0_2
group_s1_0_s1_tot3_c0_2,s1_snp2_b0_2
group_s1_1_s1_c1_1,s1_b1_1
group_s1_1_s1_c1_2,s1_b1_2
group_s1_1_s1_c1_3,s1_b1_3
group_s1_1_s1_c1_4_a,s1_b1_4_a
group_s1_1_s1_c1_4_b,s1_b1_4_b
group_s1_1_s1_c1_4,s1_b1_4
s1_score_ch1,s1_e1_score_avg
s1_q1,s1_e1_score
group_s1_2_s1_c2_1,s1_b2_1
group_s1_2_s1_c2_2,s1_b2_2
group_s1_2_s1_c2_3,s1_b2_3
s1_score_ch2,s1_e2_score_avg
s1_q2,s1_e2_score
group_s1_3_s1_c3_1,s1_b3_1
group_s1_3_s1_c3_2,s1_b3_2
group_s1_3_s1_c3_3,s1_b3_3
group_s1_3_s1_c3_4,s1_b3_4
s1_score_ch3,s1_e3_score_avg
s1_q3,s1_e3_score
group_s1_4_s1_c4_1,s1_b4_1
group_s1_4_s1_c4_2,s1_b4_2
group_s1_4_s1_c4_3,s1_b4_3
s1_score_ch4,s1_e4_score_avg
s1_q4,s1_e4_score
group_s1_5_s1_c5_1,s1_b5_1
group_s1_5_s1_c5_2,s1_b5_2
s1_score_ch5,s1_e5_score_avg
s1_q5,s1_e5_score
group_s1_6_s1_c6_1,s1_b6_1
group_s1_6_s1_c6_2,s1_b6_2
group_s1_6_s1_c6_3,s1_b6_3
s1_score_ch6,s1_e6_score_avg
s1_q6,s1_e6_score
group_s1_7_s1_c7_1,s1_b7_1
group_s1_7_s1_c7_2,s1_b7_2
group_s1_7_s1_c7_3,s1_b7_3
s1_score_ch7,s1_e7_score_avg
s1_q7,s1_e7_score
group_s1_8_s1_c8_1,s1_b8_1
group_s1_8_s1_c8_2,s1_b8_2
group_s1_8_s1_c8_3,s1_b8_3
s1_score_ch8,s1_e8_score_avg
s1_q8,s1_e8_score
group_s1_9_s1_c9_1,s1_b9_1
group_s1_9_s1_c9_2,s1_b9_2
group_s1_9_s1_c9_3,s1_b9_3
s1_score_ch9,s1_e9_score_avg
s1_q9,s1_e9_score
segment1_image,s1_notes_image
group6_s2_observation_start_time,s2_obs_start
group6_s2_observation_end_time,s2_obs_end
group6_s2_length_in_minutes,s2_length_in_minutes
group6_s2_length_in_minutes_enter,s2_length_in_minutes_enter
group6_s2_learning_activities_observed,s2_learning_activities_observed
group6_s2_format,s2_format
group_s2_0_s2_tot1_c0_1,s2_snp1_b0_1
group_s2_0_s2_tot1_c0_2,s2_snp1_b0_2
group_s2_0_s2_tot2_c0_1,s2_snp2_b0_1
group_s2_0_s2_tot2_c0_2,s2_snp2_b0_2
group_s2_0_s2_tot3_c0_1,s2_snp3_b0_1
group_s2_0_s2_tot3_c0_2,s2_snp3_b0_2
group_s2_1_s2_c1_1,s2_b1_1
group_s2_1_s2_c1_2,s2_b1_2
group_s2_1_s2_c1_3,s2_b1_3
group_s2_1_s2_c1_4_a,s2_b1_4_a
group_s2_1_s2_c1_4_b,s2_b1_4_b
group_s2_1_s2_c1_4,s2_b1_4
s2_score_ch1,s2_e1_score_avg
s2_q1,s2_e1_score
group_s2_2_s2_c2_1,s2_b2_1
group_s2_2_s2_c2_2,s2_b2_2
group_s2_2_s2_c2_3,s2_b2_3
s2_score_ch2,s2_e2_score_avg
s2_q2,s2_e2_score
group_s2_3_s2_c3_1,s2_b3_1
group_s2_3_s2_c3_2,s2_b3_2
group_s2_3_s2_c3_3,s2_b3_3
group_s2_3_s2_c3_4,s2_b3_4
s2_score_ch3,s2_e3_score_avg
s2_q3,s2_e3_score
group_s2_4_s2_c4_1,s2_b4_1
group_s2_4_s2_c4_2,s2_b4_2
group_s2_4_s2_c4_3,s2_b4_3
s2_score_ch4,s2_e4_score_avg
s2_q4,s2_e4_score
group_s2_5_s2_c5_1,s2_b5_1
group_s2_5_s2_c5_2,s2_b5_2
s2_score_ch5,s2_e5_score_avg
s2_q5,s2_e5_score
group_s2_6_s2_c6_1,s2_b6_1
group_s2_6_s2_c6_2,s2_b6_2
group_s2_6_s2_c6_3,s2_b6_3
s2_score_ch6,s2_e6_score_avg
s2_q6,s2_e6_score
group_s2_7_s2_c7_1,s2_b7_1
group_s2_7_s2_c7_2,s2_b7_2
group_s2_7_s2_c7_3,s2_b7_3
s2_score_ch7,s2_e7_score_avg
s2_q7,s2_e7_score
group_s2_8_s2_c8_1,s2_b8_1
group_s2_8_s2_c8_2,s2_b8_2
group_s2_8_s2_c8_3,s2_b8_3
s2_score_ch8,s2_e8_score_avg
s2_q8,s2_e8_score
group_s2_9_s2_c9_1,s2_b9_1
group_s2_9_s2_c9_2,s2_b9_2
group_s2_9_s2_c9_3,s2_b9_3
s2_score_ch9,s2_e9_score_avg
s2_q9,s2_e9_score
segment2_image,s2_notes_image
group7_teach_language,teach_languages
group7_adults_teachers,n_teach
group7_adults_assistants,n_asst
group7_adults_spec_assistants,n_asst_spec
group7_other_text,other_text
group7_other_number,n_other
group8_early_observation_end,early_observation_end
group8_children_left_unsupervised,left_unsupervised
group8_severe_negative,severe_negative
group8_children_left_unsupervised_minutes,children_left_unsupervised_minutes
avl_resources_1,resources_writing
avl_resources_2,resources_art
avl_resources_3,resources_fantasy_play
avl_resources_4,resources_blocks
avl_resources_5,resources_ed_toys
avl_resources_6,resources_storybooks
safety_hazards_observed,safety_hazards_observed
group9_available_seen_center_1,seen_clean_water
group9_available_seen_center_2,seen_wash
group9_available_seen_center_3,seen_toilet
group9_available_seen_center_4,seen_sep_toilet_girls
group9_available_seen_center_5,seen_clean_toilets
startdate,start_time
endtime,end_time
meta_audit,meta_audit
meta_instance_id,meta_instance_id
meta_instance_name,meta_instance_name
system_submission_date,system_submission_date
system_submitter_id,system_submitter_id
system_submitter_name,system_submitter_name
system_attachments_present,system_attachments_present
system_attachments_expected,system_attachments_expected
system_device_id,system_device_id
system_edits,system_edits
katchi_childrens,katchi_children
ece_childrens,ece_children
books_in_english,books_in_english
books_in_other_languages,books_in_other_languages
start_geopoint,geopoint
start_geopoint_longitude,geopoint_longitude
start_geopoint_latitude,geopoint_latitude
start_geopoint_altitude,geopoint_altitude
odata_context,odata_context
class_teaching_this_time,class_teaching_this_time
group8_segment,early_obs_end_segment
group8_end_time,early_end_time
group8_reason,early_end_reason
group8_reason_severe_negative,reason_severe_negative
katchi_childrens_unregister,katchi_childrens_unregister
grade_1_childrens_unregister,grade_1_childrens_unregister
ece_childrens_unregister,ece_childrens_unregister
